,X,Y,k,centroid
0,-122.406401668,37.7866144613,3,False
1,-122.408201657,37.7868849113,3,False
2,-122.408231026,37.787359495,3,False
3,-122.400916029,37.7854574903,3,False
4,-122.400916029,37.7854574903,3,False
5,-122.400916029,37.7854574903,3,False
6,-122.400916029,37.7854574903,3,False
7,-122.400916029,37.7854574903,3,False
8,-122.400916029,37.7854574903,3,False
9,-122.400916029,37.7854574903,3,False
10,-122.400916029,37.7854574903,3,False
11,-122.400916029,37.7854574903,3,False
12,-122.400916029,37.7854574903,3,False
13,-122.400916029,37.7854574903,3,False
14,-122.400916029,37.7854574903,3,False
15,-122.400916029,37.7854574903,3,False
16,-122.400916029,37.7854574903,3,False
17,-122.400916029,37.7854574903,3,False
18,-122.400916029,37.7854574903,3,False
19,-122.400916029,37.7854574903,3,False
20,-122.400916029,37.7854574903,3,False
21,-122.400916029,37.7854574903,3,False
22,-122.400916029,37.7854574903,3,False
23,-122.400916029,37.7854574903,3,False
24,-122.400916029,37.7854574903,3,False
25,-122.400916029,37.7854574903,3,False
26,-122.400916029,37.7854574903,3,False
27,-122.400916029,37.7854574903,3,False
28,-122.400916029,37.7854574903,3,False
29,-122.400916029,37.7854574903,3,False
30,-122.400916029,37.7854574903,3,False
31,-122.418351238,37.7570133987,1,False
32,-122.41592985,37.7604330004,1,False
33,-122.41592985,37.7604330004,1,False
34,-122.417964484,37.7586968166,1,False
35,-122.415066876,37.7835634796,0,False
36,-122.427966288,37.7118229386,2,False
37,-122.427966288,37.7118229386,2,False
38,-122.427966288,37.7118229386,2,False
39,-122.42206273,37.7899200015,0,False
40,-122.42206273,37.7899200015,0,False
41,-122.42206273,37.7899200015,0,False
42,-122.42206273,37.7899200015,0,False
43,-122.42206273,37.7899200015,0,False
44,-122.42206273,37.7899200015,0,False
45,-122.42206273,37.7899200015,0,False
46,-122.42206273,37.7899200015,0,False
47,-122.42206273,37.7899200015,0,False
48,-122.42206273,37.7899200015,0,False
49,-122.42206273,37.7899200015,0,False
50,-122.42206273,37.7899200015,0,False
51,-122.42206273,37.7899200015,0,False
52,-122.42206273,37.7899200015,0,False
53,-122.42206273,37.7899200015,0,False
54,-122.42206273,37.7899200015,0,False
55,-122.42206273,37.7899200015,0,False
56,-122.42206273,37.7899200015,0,False
57,-122.42206273,37.7899200015,0,False
58,-122.42206273,37.7899200015,0,False
59,-122.42206273,37.7899200015,0,False
60,-122.42206273,37.7899200015,0,False
61,-122.42206273,37.7899200015,0,False
62,-122.42206273,37.7899200015,0,False
63,-122.427966288,37.7118229386,2,False
64,-122.427966288,37.7118229386,2,False
65,-122.427966288,37.7118229386,2,False
66,-122.427966288,37.7118229386,2,False
67,-122.427966288,37.7118229386,2,False
68,-122.417664997,37.7562905437,1,False
69,-122.416872884,37.7587640201,1,False
70,-122.415921585,37.7596123169,1,False
71,-122.417664997,37.7562905437,1,False
72,-122.415781282,37.7588312135,1,False
73,-122.405539468,37.7962176299,3,False
74,-122.405539468,37.7962176299,3,False
75,-122.405283981,37.7965510481,3,False
76,-122.405283981,37.7965510481,3,False
77,-122.418120086,37.760301234,1,False
78,-122.417180449,37.7619674218,1,False
79,-122.404195425,37.7912255174,3,False
80,-122.404195425,37.7912255174,3,False
81,-122.404195425,37.7912255174,3,False
82,-122.40346408,37.7785233776,3,False
83,-122.416331137,37.7588520014,1,False
84,-122.418656834,37.7602134417,1,False
85,-122.415781282,37.7588312135,1,False
86,-122.404505574,37.7595850479,1,False
87,-122.418108926,37.7594801326,1,False
88,-122.459564595,37.7246926894,2,False
89,-122.459564595,37.7246926894,2,False
90,-122.435081295,37.7388951597,2,False
91,-122.47430808,37.7166425333,2,False
92,-122.47430808,37.7166425333,2,False
93,-122.47430808,37.7166425333,2,False
94,-122.47430808,37.7166425333,2,False
95,-122.47430808,37.7166425333,2,False
96,-122.47430808,37.7166425333,2,False
97,-122.47430808,37.7166425333,2,False
98,-122.47430808,37.7166425333,2,False
99,-122.47430808,37.7166425333,2,False
100,-122.47430808,37.7166425333,2,False
101,-122.47430808,37.7166425333,2,False
102,-122.47430808,37.7166425333,2,False
103,-122.47430808,37.7166425333,2,False
104,-122.47430808,37.7166425333,2,False
105,-122.47430808,37.7166425333,2,False
106,-122.47430808,37.7166425333,2,False
107,-122.417812559,37.7571005796,1,False
108,-122.419360353,37.7618358012,1,False
109,-122.415781282,37.7588312135,1,False
110,-122.441811628,37.7990019437,0,False
111,-122.441811628,37.7990019437,0,False
112,-122.405396537,37.793524904,3,False
113,-122.406981047,37.7946373197,3,False
114,-122.404195425,37.7912255174,3,False
115,-122.42081471,37.7836278721,0,False
116,-122.450929424,37.7225208462,2,False
117,-122.450929424,37.7225208462,2,False
118,-122.450929424,37.7225208462,2,False
119,-122.450929424,37.7225208462,2,False
120,-122.450929424,37.7225208462,2,False
121,-122.450929424,37.7225208462,2,False
122,-122.450929424,37.7225208462,2,False
123,-122.450929424,37.7225208462,2,False
124,-122.450929424,37.7225208462,2,False
125,-122.416167671,37.7571447586,1,False
126,-122.418120086,37.760301234,1,False
127,-122.41592985,37.7604330004,1,False
128,-122.417028392,37.7603656932,1,False
129,-122.418120086,37.760301234,1,False
130,-122.415770264,37.7580118295,1,False
131,-122.416720982,37.7571677817,1,False
132,-122.41592985,37.7604330004,1,False
133,-122.417964484,37.7586968166,1,False
134,-122.417812559,37.7571005796,1,False
135,-122.417413347,37.7586764833,1,False
136,-122.450929424,37.7225208462,2,False
137,-122.450929424,37.7225208462,2,False
138,-122.450929424,37.7225208462,2,False
139,-122.450929424,37.7225208462,2,False
140,-122.404304136,37.7442180803,1,False
141,-122.423991907,37.7526959571,1,False
142,-122.418108926,37.7594801326,1,False
143,-122.417964484,37.7586968166,1,False
144,-122.41592985,37.7604330004,1,False
145,-122.416863556,37.7579459515,1,False
146,-122.459564595,37.7246926894,2,False
147,-122.417817853,37.7578884408,1,False
148,-122.417964484,37.7586968166,1,False
149,-122.417180449,37.7619674218,1,False
150,-122.417964484,37.7586968166,1,False
151,-122.414845139,37.7605000726,1,False
152,-122.41592985,37.7604330004,1,False
153,-122.417964484,37.7586968166,1,False
154,-122.417812559,37.7571005796,1,False
155,-122.47430808,37.7166425333,2,False
156,-122.47430808,37.7166425333,2,False
157,-122.47430808,37.7166425333,2,False
158,-122.47430808,37.7166425333,2,False
159,-122.47430808,37.7166425333,2,False
160,-122.47430808,37.7166425333,2,False
161,-122.47430808,37.7166425333,2,False
162,-122.47430808,37.7166425333,2,False
163,-122.47430808,37.7166425333,2,False
164,-122.47430808,37.7166425333,2,False
165,-122.47430808,37.7166425333,2,False
166,-122.47430808,37.7166425333,2,False
167,-122.47430808,37.7166425333,2,False
168,-122.47430808,37.7166425333,2,False
169,-122.47430808,37.7166425333,2,False
170,-122.47430808,37.7166425333,2,False
171,-122.47430808,37.7166425333,2,False
172,-122.47430808,37.7166425333,2,False
173,-122.47430808,37.7166425333,2,False
